,City          
289,New York      
290,Atlanta       
291,Chicago       
292,Houston       
293,Dallas        
294,Chicago       
295,Boston        
296,Dallas        
297,Atlanta       
298,Seattle       
299,Chicago       
300,Chicago       
301,San Francisco 
302,Seattle       
303,Miami         
304,Chicago       
305,Dallas        
306,Chicago       
307,Atlanta       
308,Atlanta       
309,Houston       
310,Seattle       
311,Houston       
312,New York      
313,Chicago       
314,Chicago       
315,San Francisco 
316,San Francisco 
317,Atlanta       
318,Los Angeles   
319,Los Angeles   
320,Chicago       
321,Seattle       
322,Dallas        
323,Dallas        
324,Dallas        
325,Atlanta       
326,San Francisco 
327,New York      
328,Los Angeles   
329,Chicago       
330,Houston       
331,Dallas        
332,Chicago       
333,Chicago       
334,Seattle       
335,Boston        
336,San Francisco 
337,San Francisco 
338,Seattle       
339,San Francisco 
340,Boston        
341,Dallas        
342,Chicago       
343,New York      
344,San Francisco 
345,Los Angeles   
346,Atlanta       
347,Boston        
348,Miami         
349,Boston        
350,New York      
351,Los Angeles   
352,New York      
353,Miami         
354,Los Angeles   
355,Miami         
356,Houston       
357,Miami         
358,Seattle       
359,New York      
360,Chicago       
361,Houston       
362,Boston        
363,Miami         
364,Miami         
365,Atlanta       
366,San Francisco 
367,Atlanta       
368,Atlanta       
369,Los Angeles   
370,New York      
371,Los Angeles   
372,Dallas        
373,Dallas        
374,Houston       
375,New York      
376,New York      
377,Miami         
378,Houston       
379,Houston       
380,Dallas        
381,Boston        
382,New York      
383,New York      
384,New York      
385,Seattle       
386,Seattle       
387,San Francisco 
388,Seattle       
389,Los Angeles   
390,New York      
391,Los Angeles   
392,Miami         
393,Miami         
394,Atlanta       
395,Seattle       
396,Houston       
397,New York      
398,Chicago       
399,New York      
400,New York      
401,San Francisco 
402,Dallas        
403,Chicago       
404,Seattle       
405,Seattle       
406,New York      
407,San Francisco 
408,Atlanta       
409,Houston       
410,Dallas        
411,Seattle       
412,Houston       
413,Atlanta       
414,Houston       
415,Houston       
416,Chicago       
417,Dallas        
418,New York      
419,Miami         
420,Houston       
421,New York      
422,Dallas        
423,Miami         
424,Seattle       
425,San Francisco 
426,Seattle       
427,Seattle       
428,Boston        
429,Miami         
430,San Francisco 
431,Boston        
432,New York      
433,Los Angeles   
434,Chicago       
435,Houston       
436,New York      
437,Boston        
438,Houston       
439,New York      
440,Houston       
441,Chicago       
442,New York      
443,Dallas        
444,Miami         
445,Atlanta       
446,Los Angeles   
447,Dallas        
448,Los Angeles   
449,Miami         
450,Los Angeles   
451,Atlanta       
452,New York      
453,New York      
454,Los Angeles   
455,Dallas        
456,Los Angeles   
457,Houston       
458,Atlanta       
459,Atlanta       
460,Miami         
461,Atlanta       
462,Houston       
463,Chicago       
464,Miami         
465,Atlanta       
466,Dallas        
467,San Francisco 
468,Chicago       
469,Seattle       
470,Dallas        
471,Houston       
472,Chicago       
473,Chicago       
474,Dallas        
475,Miami         
476,Boston        
477,Dallas        
478,San Francisco 
479,Los Angeles   
480,Atlanta       
481,Houston       
482,Houston       
483,Atlanta       
484,Dallas        
485,Miami         
486,Miami         
487,Seattle       
488,Atlanta       
489,Dallas        
490,Los Angeles   
491,Chicago       
492,Chicago       
493,Boston        
494,Dallas        
495,Houston       
496,Atlanta       
497,Seattle       
498,Seattle       
499,Atlanta       
500,Dallas        
501,Chicago       
502,New York      
503,Houston       
504,Los Angeles   
505,Chicago       
506,San Francisco 
507,San Francisco 
508,Seattle       
509,Houston       
510,Boston        
511,Atlanta       
512,New York      
513,Atlanta       
514,New York      
515,Atlanta       
516,Houston       
517,Chicago       
518,Miami         
519,Houston       
520,Los Angeles   
521,Atlanta       
522,New York      
523,Boston        
524,Los Angeles   
525,San Francisco 
526,Seattle       
527,San Francisco 
528,Dallas        
529,Seattle       
530,New York      
531,Los Angeles   
532,Houston       
533,Atlanta       
534,Miami         
535,Los Angeles   
536,Dallas        
537,Chicago       
538,New York      
539,Dallas        
540,Miami         
541,Atlanta       
542,San Francisco 
543,Houston       
544,Boston        
545,Atlanta       
546,Houston       
547,Dallas        
548,Miami         
549,Boston        
550,Boston        
551,New York      
552,Seattle       
553,Chicago       
554,San Francisco 
555,Miami         
556,New York      
557,Los Angeles   
558,Chicago       
559,New York      
560,Atlanta       
561,Los Angeles   
562,Boston        
563,Atlanta       
564,Houston       
565,Los Angeles   
566,San Francisco 
567,Houston       
568,Houston       
569,San Francisco 
570,Boston        
571,San Francisco 
572,San Francisco 
573,Boston        
574,Seattle       
575,Dallas        
576,Atlanta       
577,San Francisco 
578,New York      
579,Atlanta       
580,Boston        
581,San Francisco 
582,Seattle       
583,Los Angeles   
584,Los Angeles   
585,Chicago       
586,Atlanta       
587,Houston       
588,San Francisco 
589,Atlanta       
590,Seattle       
591,San Francisco 
592,Seattle       
593,Miami         
594,Boston        
595,San Francisco 
596,Houston       
597,New York      
598,Dallas        
599,Chicago       
600,Los Angeles   
601,Dallas        
602,Los Angeles   
603,Seattle       
604,Atlanta       
605,Seattle       
606,Atlanta       
607,Chicago       
608,Atlanta       
609,Los Angeles   
610,Chicago       
611,Seattle       
612,Atlanta       
613,New York      
614,Houston       
615,Seattle       
616,San Francisco 
617,Chicago       
618,Chicago       
619,Los Angeles   
620,Boston        
621,Los Angeles   
622,Houston       
623,New York      
624,San Francisco 
625,Chicago       
626,Chicago       
627,New York      
628,Miami         
629,Miami         
630,New York      
631,Chicago       
632,New York      
633,Miami         
634,San Francisco 
635,Boston        
636,Chicago       
637,Chicago       
638,Atlanta       
639,Boston        
640,Boston        
641,Chicago       
642,Chicago       
643,Seattle       
644,San Francisco 
645,San Francisco 
646,Boston        
647,Atlanta       
648,Houston       
649,San Francisco 
650,Houston       
651,Dallas        
652,Atlanta       
653,Dallas        
654,New York      
655,Miami         
656,Boston        
657,Miami         
658,San Francisco 
659,Houston       
660,Los Angeles   
661,Dallas        
662,Seattle       
663,Miami         
664,Los Angeles   
665,Miami         
666,Chicago       
667,Los Angeles   
668,Seattle       
669,Seattle       
670,Atlanta       
671,Seattle       
672,Atlanta       
673,New York      
674,Atlanta       
675,Houston       
676,Atlanta       
677,New York      
678,Atlanta       
679,Los Angeles   
680,New York      
681,Houston       
682,Seattle       
683,New York      
684,New York      
685,Chicago       
686,Dallas        
687,Chicago       
688,Chicago       
689,Dallas        
690,Dallas        
691,San Francisco 
692,Houston       
693,Seattle       
694,Chicago       
695,Boston        
696,Chicago       
697,Boston        
698,New York      
699,Los Angeles   
700,Seattle       
701,Los Angeles   
702,Houston       
703,Boston        
704,Miami         
705,Houston       
706,Dallas        
707,Dallas        
708,New York      
709,Atlanta       
710,Seattle       
711,Dallas        
712,Houston       
713,San Francisco 
714,San Francisco 
715,Dallas        
716,Houston       
717,Boston        
718,Boston        
719,Los Angeles   
720,Houston       
721,Los Angeles   
722,Seattle       
723,Boston        
724,Houston       
725,Boston        
726,Dallas        
727,San Francisco 
728,Boston        
729,Houston       
730,Los Angeles   
731,New York      
732,Atlanta       
733,San Francisco 
734,Boston        
735,Houston       
736,Seattle       
737,Los Angeles   
738,Atlanta       
739,Dallas        
740,Boston        
741,Dallas        
742,New York      
743,Atlanta       
744,Boston        
745,Atlanta       
746,Los Angeles   
747,New York      
748,Atlanta       
749,Atlanta       
750,Dallas        
751,Miami         
752,Atlanta       
753,San Francisco 
754,Chicago       
755,New York      
756,Dallas        
757,San Francisco 
758,Miami         
759,Los Angeles   
760,Boston        
761,Seattle       
762,San Francisco 
763,Miami         
764,New York      
765,San Francisco 
766,San Francisco 
767,San Francisco 
768,New York      
769,Dallas        
770,Atlanta       
771,New York      
772,Chicago       
773,Seattle       
774,Seattle       
775,Dallas        
776,New York      
777,Miami         
778,San Francisco 
779,Houston       
780,Chicago       
781,Houston       
782,Dallas        
783,Chicago       
784,Boston        
785,Chicago       
786,Boston        
787,Seattle       
788,Los Angeles   
789,Los Angeles   
790,Houston       
791,New York      
792,Dallas        
793,Dallas        
794,Houston       
795,Atlanta       
796,Boston        
797,New York      
798,Atlanta       
799,Atlanta       
800,New York      
801,Chicago       
802,Dallas        
803,Houston       
804,New York      
805,Boston        
806,Chicago       
807,Chicago       
808,Seattle       
809,Dallas        
810,San Francisco 
811,Chicago       
812,Boston        
813,Miami         
814,Seattle       
815,Seattle       
816,Atlanta       
817,San Francisco 
818,Chicago       
819,Houston       
820,Houston       
821,Los Angeles   
822,Los Angeles   
823,New York      
824,Los Angeles   
825,San Francisco 
826,Seattle       
827,Chicago       
828,Seattle       
829,Atlanta       
830,Dallas        
831,Miami         
832,New York      
833,Atlanta       
834,Dallas        
835,Atlanta       
836,Houston       
837,Dallas        
838,San Francisco 
839,Chicago       
840,Los Angeles   
841,Boston        
842,San Francisco 
843,Houston       
844,Chicago       
845,Los Angeles   
846,Atlanta       
847,Boston        
848,Chicago       
849,New York      
850,Boston        
851,Dallas        
852,Houston       
853,Seattle       
854,Boston        
855,Dallas        
856,Houston       
857,Miami         
858,Boston        
859,Seattle       
860,New York      
861,Seattle       
862,New York      
863,San Francisco 
864,Seattle       
865,New York      
866,Atlanta       
867,Los Angeles   
868,Dallas        
869,Houston       
870,Chicago       
871,Los Angeles   
872,New York      
873,Dallas        
874,Miami         
875,San Francisco 
876,Dallas        
877,Boston        
878,Miami         
879,Miami         
880,Chicago       
881,Atlanta       
882,San Francisco 
883,Boston        
884,Los Angeles   
885,New York      
886,Boston        
887,Atlanta       
888,New York      
889,Dallas        
890,Los Angeles   
891,Miami         
892,Houston       
893,Chicago       
894,Miami         
895,Chicago       
896,Chicago       
897,Miami         
898,San Francisco 
899,Chicago       
900,Dallas        
901,Miami         
902,Dallas        
903,Los Angeles   
904,New York      
905,Miami         
906,Atlanta       
907,Atlanta       
908,Chicago       
909,Dallas        
910,Boston        
911,Dallas        
912,Miami         
913,Dallas        
914,Dallas        
915,Chicago       
916,Houston       
917,Seattle       
918,Los Angeles   
919,Miami         
920,Seattle       
921,Atlanta       
922,New York      
923,Houston       
924,Houston       
925,Seattle       
926,Dallas        
927,Los Angeles   
928,San Francisco 
929,Dallas        
930,Atlanta       
931,New York      
932,Seattle       
933,Boston        
934,Chicago       
935,Chicago       
936,Seattle       
937,Seattle       
938,Dallas        
939,Boston        
940,Boston        
941,Boston        
942,Miami         
943,Boston        
944,San Francisco 
945,Dallas        
946,Atlanta       
947,New York      
948,Miami         
949,Atlanta       
950,New York      
951,Boston        
952,Boston        
953,Miami         
954,Los Angeles   
955,Atlanta       
956,Los Angeles   
957,San Francisco 
958,Seattle       
959,New York      
960,Miami         
961,Boston        
962,San Francisco 
963,New York      
964,Miami         
965,San Francisco 
966,San Francisco 
967,Seattle       
968,Houston       
969,Boston        
970,Boston        
971,Dallas        
972,San Francisco 
973,New York      
974,Chicago       
975,Miami         
976,New York      
977,Dallas        
978,New York      
979,Los Angeles   
980,San Francisco 
981,Los Angeles   
982,Seattle       
983,Houston       
984,Houston       
985,Dallas        
986,Chicago       
987,Chicago       
988,Los Angeles   
989,Seattle       
990,Boston        
991,New York      
992,New York      
993,Los Angeles   
994,Chicago       
995,Seattle       
996,New York      
997,Miami         
998,San Francisco 
999,Dallas        
1000,Chicago       
1001,Los Angeles   
1002,Houston       
1003,Dallas        
1004,Seattle       
1005,Dallas        
1006,Seattle       
1007,Dallas        
1008,Miami         
1009,New York      
1010,New York      
1011,Dallas        
1012,Boston        
1013,Atlanta       
1014,San Francisco 
1015,Seattle       
1016,Los Angeles   
1017,San Francisco 
1018,New York      
1019,Miami         
1020,San Francisco 
1021,Seattle       
1022,Los Angeles   
1023,New York      
1024,Atlanta       
1025,Seattle       
1026,Miami         
1027,Dallas        
1028,Chicago       
1029,Los Angeles   
1030,Chicago       
1031,New York      
1032,Dallas        
1033,Los Angeles   
1034,Boston        
1035,Houston       
1036,New York      
1037,Dallas        
1038,Chicago       
1039,San Francisco 
1040,Los Angeles   
1041,Seattle       
1042,San Francisco 
1043,San Francisco 
1044,New York      
1045,Dallas        
1046,Houston       
1047,San Francisco 
1048,Atlanta       
1049,Boston        
1050,Seattle       
1051,Boston        
1052,Atlanta       
1053,Miami         
1054,Boston        
1055,New York      
1056,Boston        
1057,Atlanta       
1058,Seattle       
1059,Houston       
1060,Dallas        
1061,Houston       
1062,San Francisco 
1063,Boston        
1064,Houston       
1065,New York      
1066,Dallas        
1067,Houston       
1068,Miami         
1069,New York      
1070,Dallas        
1071,Houston       
1072,Seattle       
1073,New York      
1074,New York      
1075,Atlanta       
1076,Seattle       
1077,Los Angeles   
1078,Dallas        
1079,Atlanta       
1080,San Francisco 
1081,New York      
1082,Boston        
1083,Atlanta       
1084,San Francisco 
1085,Atlanta       
1086,Atlanta       
1087,Boston        
1088,Dallas        
1089,Atlanta       
1090,Houston       
1091,Seattle       
1092,Seattle       
1093,Dallas        
1094,Boston        
1095,Houston       
1096,Los Angeles   
1097,Los Angeles   
1098,Atlanta       
1099,Seattle       
1100,Atlanta       
1101,Seattle       
1102,Atlanta       
1103,Seattle       
1104,Miami         
1105,New York      
1106,San Francisco 
1107,Miami         
1108,New York      
1109,Boston        
1110,Seattle       
1111,Seattle       
1112,Chicago       
1113,Boston        
1114,New York      
1115,Los Angeles   
1116,Houston       
1117,Atlanta       
1118,Dallas        
1119,San Francisco 
1120,Boston        
1121,Chicago       
1122,Seattle       
1123,Houston       
1124,San Francisco 
1125,Atlanta       
1126,New York      
1127,Houston       
1128,Houston       
1129,Chicago       
1130,Miami         
1131,Houston       
1132,Los Angeles   
1133,Los Angeles   
1134,Atlanta       
1135,Seattle       
1136,New York      
1137,Miami         
1138,Atlanta       
1139,Miami         
1140,Atlanta       
1141,Chicago       
1142,Boston        
1143,Chicago       
1144,Seattle       
1145,San Francisco 
1146,Seattle       
1147,San Francisco 
1148,Miami         
1149,Miami         
1150,Atlanta       
1151,Miami         
1152,New York      
1153,Dallas        
1154,Los Angeles   
1155,Dallas        
1156,Boston        
1157,Miami         
1158,Dallas        
1159,Seattle       
1160,Boston        
1161,Chicago       
1162,Dallas        
1163,Atlanta       
1164,Boston        
1165,Miami         
1166,Chicago       
1167,San Francisco 
1168,Boston        
1169,New York      
1170,Dallas        
1171,Dallas        
1172,Seattle       
1173,Miami         
1174,Chicago       
1175,Atlanta       
1176,Dallas        
1177,Los Angeles   
1178,Houston       
1179,Chicago       
1180,Houston       
1181,Dallas        
1182,San Francisco 
1183,Miami         
1184,Boston        
1185,Miami         
1186,Los Angeles   
1187,Chicago       
1188,Dallas        
1189,Houston       
1190,Chicago       
1191,New York      
1192,Dallas        
1193,Miami         
1194,Miami         
1195,Boston        
1196,Boston        
1197,Seattle       
1198,Seattle       
1199,San Francisco 
1200,San Francisco 
1201,Miami         
1202,Houston       
1203,Los Angeles   
1204,Los Angeles   
1205,San Francisco 
1206,New York      
1207,New York      
1208,New York      
1209,San Francisco 
1210,Chicago       
1211,Chicago       
1212,Chicago       
1213,San Francisco 
1214,Boston        
1215,Dallas        
1216,Atlanta       
1217,San Francisco 
1218,Chicago       
1219,Dallas        
1220,Seattle       
1221,Houston       
1222,San Francisco 
1223,Dallas        
1224,Boston        
1225,Dallas        
1226,Seattle       
1227,Boston        
1228,Boston        
1229,Seattle       
1230,Los Angeles   
1231,Seattle       
1232,Seattle       
1233,Los Angeles   
1234,Seattle       
1235,Dallas        
1236,Dallas        
1237,Houston       
1238,Atlanta       
1239,San Francisco 
1240,Los Angeles   
1241,Boston        
1242,Chicago       
1243,Atlanta       
1244,Seattle       
1245,Miami         
1246,Chicago       
1247,Houston       
1248,Houston       
1249,Atlanta       
1250,Chicago       
1251,New York      
1252,Boston        
1253,Boston        
1254,Seattle       
1255,Los Angeles   
1256,Dallas        
1257,Boston        
1258,Boston        
1259,New York      
1260,Seattle       
1261,Los Angeles   
1262,Seattle       
1263,San Francisco 
1264,Boston        
1265,Dallas        
1266,Chicago       
1267,New York      
1268,Dallas        
1269,Houston       
1270,Houston       
1271,Chicago       
1272,Dallas        
1273,Houston       
1274,Los Angeles   
1275,Chicago       
1276,Seattle       
1277,New York      
1278,Los Angeles   
1279,Miami         
1280,Atlanta       
1281,New York      
1282,Miami         
1283,Houston       
1284,Dallas        
1285,Dallas        
1286,Chicago       
1287,Atlanta       
1288,Seattle       
1289,Miami         
1290,Boston        
1291,Atlanta       
1292,Dallas        
1293,Chicago       
1294,Seattle       
1295,Los Angeles   
1296,Miami         
1297,Los Angeles   
1298,Boston        
1299,Chicago       
1300,Los Angeles   
1301,Chicago       
1302,Chicago       
1303,New York      
1304,Atlanta       
1305,Atlanta       
1306,Atlanta       
1307,Los Angeles   
1308,Dallas        
1309,Atlanta       
1310,Boston        
1311,Miami         
1312,Seattle       
1313,Houston       
1314,Boston        
1315,San Francisco 
1316,Dallas        
1317,Los Angeles   
1318,Chicago       
1319,San Francisco 
1320,Chicago       
1321,Seattle       
1322,New York      
1323,Boston        
1324,Miami         
1325,New York      
1326,Houston       
1327,Houston       
1328,New York      
1329,Boston        
1330,Seattle       
1331,Dallas        
1332,Dallas        
1333,Miami         
1334,Dallas        
1335,Boston        
1336,New York      
1337,Miami         
1338,Miami         
1339,San Francisco 
1340,Boston        
1341,Atlanta       
1342,New York      
1343,Seattle       
1344,Atlanta       
1345,Chicago       
1346,Los Angeles   
1347,Los Angeles   
1348,Chicago       
1349,Miami         
1350,Boston        
1351,Atlanta       
1352,Seattle       
1353,San Francisco 
1354,Dallas        
1355,Miami         
1356,San Francisco 
1357,Chicago       
1358,Los Angeles   
1359,Houston       
1360,Chicago       
1361,Houston       
1362,San Francisco 
1363,Dallas        
1364,Houston       
1365,Seattle       
1366,Dallas        
1367,New York      
1368,Dallas        
1369,Atlanta       
1370,Seattle       
1371,Houston       
1372,Los Angeles   
1373,San Francisco 
1374,Seattle       
1375,Dallas        
1376,Seattle       
1377,Houston       
1378,Boston        
1379,Atlanta       
1380,Los Angeles   
1381,Dallas        
1382,New York      
1383,Miami         
1384,Atlanta       
1385,Seattle       
1386,Houston       
1387,Atlanta       
1388,New York      
1389,Los Angeles   
1390,Chicago       
1391,Los Angeles   
1392,San Francisco 
1393,Miami         
1394,Atlanta       
1395,Chicago       
1396,Atlanta       
1397,Atlanta       
1398,Dallas        
1399,Seattle       
1400,San Francisco 
1401,Miami         
1402,Dallas        
1403,New York      
1404,Los Angeles   
1405,Houston       
1406,Los Angeles   
1407,Los Angeles   
1408,Los Angeles   
1409,New York      
1410,Houston       
1411,Miami         
1412,New York      
1413,Dallas        
1414,Los Angeles   
1415,Atlanta       
1416,Atlanta       
1417,New York      
1418,Los Angeles   
1419,Miami         
1420,Los Angeles   
1421,New York      
1422,Boston        
1423,Dallas        
1424,Boston        
1425,Boston        
1426,San Francisco 
1427,Los Angeles   
1428,Atlanta       
1429,San Francisco 
1430,Atlanta       
1431,San Francisco 
1432,San Francisco 
1433,Dallas        
1434,Dallas        
1435,New York      
1436,Los Angeles   
1437,Los Angeles   
1438,Atlanta       
1439,New York      
1440,Houston       
1441,New York      
1442,San Francisco 
1443,Dallas        
1444,Atlanta       
1445,New York      
1446,Atlanta       
1447,Houston       
1448,Chicago       
1449,Los Angeles   
1450,Chicago       
1451,Houston       
1452,San Francisco 
1453,Atlanta       
1454,Miami         
1455,Dallas        
1456,San Francisco 
1457,New York      
1458,Seattle       
1459,San Francisco 
1460,Boston        
1461,Chicago       
1462,Dallas        
1463,New York      
1464,Houston       
1465,New York      
1466,New York      
1467,Dallas        
1468,Miami         
1469,New York      
1470,New York      
1471,San Francisco 
1472,New York      
1473,Seattle       
1474,Atlanta       
1475,Atlanta       
1476,Seattle       
1477,Miami         
1478,Boston        
1479,Miami         
1480,Dallas        
1481,Los Angeles   
1482,San Francisco 
1483,Boston        
1484,Chicago       
1485,Chicago       
1486,Houston       
1487,Chicago       
1488,Miami         
1489,Miami         
1490,Houston       
1491,New York      
1492,Seattle       
1493,Atlanta       
1494,Dallas        
1495,Boston        
1496,Miami         
1497,Seattle       
1498,Boston        
1499,Boston        
1500,Houston       
1501,Miami         
1502,Chicago       
1503,New York      
1504,New York      
1505,Seattle       
1506,Seattle       
1507,San Francisco 
1508,New York      
1509,Atlanta       
1510,Los Angeles   
1511,Houston       
1512,Seattle       
1513,Dallas        
1514,Miami         
1515,San Francisco 
1516,Atlanta       
1517,Los Angeles   
1518,Atlanta       
1519,Seattle       
1520,Seattle       
1521,San Francisco 
1522,Chicago       
1523,Los Angeles   
1524,Miami         
1525,Atlanta       
1526,Seattle       
1527,New York      
1528,Los Angeles   
1529,Dallas        
1530,Miami         
1531,Boston        
1532,New York      
1533,Seattle       
1534,Seattle       
1535,Miami         
1536,Boston        
1537,Dallas        
1538,Seattle       
1539,New York      
1540,Miami         
1541,Chicago       
1542,Houston       
1543,New York      
1544,New York      
1545,Boston        
1546,Boston        
1547,New York      
1548,Boston        
1549,Miami         
1550,Los Angeles   
1551,Seattle       
1552,Atlanta       
1553,San Francisco 
1554,Houston       
1555,Los Angeles   
1556,Chicago       
1557,Boston        
1558,Chicago       
1559,Seattle       
1560,Seattle       
1561,Atlanta       
1562,Dallas        
1563,Miami         
1564,San Francisco 
1565,Atlanta       
1566,Boston        
1567,Chicago       
1568,Boston        
1569,New York      
1570,Houston       
1571,New York      
1572,Houston       
1573,New York      
1574,Seattle       
1575,Dallas        
1576,Chicago       
1577,San Francisco 
1578,Boston        
1579,Dallas        
1580,Los Angeles   
1581,Chicago       
1582,Boston        
1583,Miami         
1584,New York      
1585,Atlanta       
1586,Chicago       
1587,Chicago       
1588,San Francisco 
1589,Miami         
1590,Dallas        
1591,Dallas        
1592,Boston        
1593,San Francisco 
1594,Chicago       
1595,Boston        
1596,Chicago       
1597,Boston        
1598,Chicago       
1599,Chicago       
1600,San Francisco 
1601,Los Angeles   
1602,New York      
1603,Chicago       
1604,New York      
1605,Miami         
1606,Miami         
1607,Atlanta       
1608,Seattle       
1609,Dallas        
1610,Los Angeles   
1611,Miami         
1612,San Francisco 
1613,Dallas        
1614,Atlanta       
1615,New York      
1616,Dallas        
1617,Houston       
1618,Seattle       
1619,Dallas        
1620,Los Angeles   
1621,Boston        
1622,Boston        
1623,Houston       
1624,Chicago       
1625,Houston       
1626,Dallas        
1627,San Francisco 
1628,Atlanta       
1629,Houston       
1630,New York      
1631,San Francisco 
1632,San Francisco 
1633,Dallas        
1634,Los Angeles   
1635,Seattle       
1636,Seattle       
1637,Atlanta       
1638,Chicago       
1639,New York      
1640,Seattle       
1641,Los Angeles   
1642,Los Angeles   
1643,Seattle       
1644,Miami         
1645,Houston       
1646,Seattle       
1647,Atlanta       
1648,Houston       
1649,Miami         
1650,Dallas        
1651,Atlanta       
1652,Dallas        
1653,Los Angeles   
1654,Dallas        
1655,Chicago       
1656,Los Angeles   
1657,San Francisco 
1658,New York      
1659,Miami         
1660,Boston        
1661,Seattle       
1662,Atlanta       
1663,Boston        
1664,Atlanta       
1665,New York      
1666,Seattle       
1667,New York      
1668,Los Angeles   
1669,Atlanta       
1670,Seattle       
1671,Seattle       
1672,Houston       
1673,Atlanta       
1674,New York      
1675,Dallas        
1676,Los Angeles   
1677,Boston        
1678,Los Angeles   
1679,Miami         
1680,New York      
1681,Boston        
1682,Dallas        
1683,Chicago       
1684,Los Angeles   
1685,San Francisco 
1686,Dallas        
